t,year_month,media_shock_mean,media_shock_p05,media_shock_p95,abret_sum,abret_vol,vote_against_rem_pct,vote_against_chair_pct,asa_engagement_private,asa_public_mobilisation,mkt_asa_against_count,mkt_asa_against_any,mkt_asa_against_w_sum,mkt_asa_proxy_against_count,mkt_asa_proxy_against_any,mkt_asa_proxy_against_w_sum,mkt_proxy_adv_against_count,mkt_proxy_adv_against_any,mkt_proxy_adv_against_w_sum,mkt_multi_target_count,mkt_multi_target_any,mkt_multi_target_w_sum,mkt_headline_incident_count,mkt_headline_incident_any,mkt_headline_incident_w_sum,mkt_first_strike_count,mkt_first_strike_any,mkt_first_strike_w_sum,mkt_rem_against_pct_mean,mkt_rem_against_pct_mean_given_asa_against,qan_asa_against,qan_asa_proxy_against,qan_proxy_adv_against,qan_multi_target,qan_headline_incident,qan_first_strike,qan_rem_against_pct,qan_prior_year_pct,qan_log_mkt_cap,qan_company,qan_gics
1,2020-10,0.0,0.0,0.0,0.0045558075019846,0.0166568201690628,0.0893,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2,2020-11,-0.066110062125,-0.6849559999999998,0.45848449999999974,0.1414011420503187,0.0199679649318347,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,2020-12,0.08231603986825001,-0.5033730000000003,0.8265229999999995,-0.1151690320440603,0.0166439670302706,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
4,2021-01,-0.08702712536825,-0.837384,0.5079199999999999,-0.0776680534489192,0.0102146811020406,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
5,2021-02,0.107781952875,-0.4659479999999999,0.8937494999999996,0.094867179252362,0.0183372324876757,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
6,2021-03,0.037619723375,-0.6287515000000001,0.7529654999999994,-0.0013760886710074,0.0165171812840796,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
7,2021-04,0.011695615874999999,-0.7003535,0.7363774999999997,-0.0664097543343931,0.0114266447209329,,,0,0,1.0,1.0,17756189565.520374,1.0,1.0,17756189565.520374,1.0,1.0,17756189565.520374,1.0,1.0,17756189565.520374,0.0,0.0,0.0,1.0,1.0,17756189565.520374,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
8,2021-05,0.18046264225,-0.39009449999999984,1.082236999999999,-0.0708184951003241,0.0143931450982311,,,0,0,2.0,1.0,94115259161.4173,2.0,1.0,94115259161.4173,2.0,1.0,94115259161.4173,1.0,1.0,79577720706.64345,1.0,1.0,79577720706.64345,2.0,1.0,94115259161.4173,0.525,0.525,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
9,2021-06,-0.150327001025,-1.0112589999999997,0.40677049999999965,-0.034070054481329,0.0159526304333971,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
10,2021-07,0.139111111025,-0.41871599999999987,0.9777819999999996,-0.026768235253364,0.0132403446729498,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
11,2021-08,-0.20010359074999998,-1.0911095,0.33962449999999916,0.0824429948774078,0.0219338238453948,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
12,2021-09,-0.155219656625,-0.9885805,0.39658499999999886,0.1402851759100962,0.0145477740414,,,0,0,1.0,1.0,7978370264.144282,1.0,1.0,7978370264.144282,1.0,1.0,7978370264.144282,0.0,0.0,0.0,1.0,1.0,7978370264.144282,1.0,1.0,7978370264.144282,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
13,2021-10,0.023521477500000002,-0.48937250000000004,0.5863255,-0.0558955726032215,0.0123169698452056,,,0,0,3.0,1.0,25098415034.577843,3.0,1.0,25098415034.577843,2.0,1.0,20719792596.548897,1.0,1.0,8817462789.571766,1.0,1.0,11902329806.977129,2.0,1.0,20719792596.548897,0.4676666666666667,0.4676666666666667,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
