t,year_month,C_mean,C_p05,C_p95,M_mean,M_p05,M_p95
1,2020-10,0.24954586897500003,0.11409505,0.4674641499999997,15.84707352566568,7.38797739345477,29.000977122097776
2,2020-11,0.257090966925,0.11855494999999999,0.47367859999999873,14.887119695188547,6.5108140877728005,26.86219872803183
3,2020-12,0.26484878655,0.12363640000000001,0.4811339499999999,16.481925986155446,6.854480413037546,31.50237689867073
4,2021-01,0.2728183205125,0.1285435,0.4907207499999997,14.830091491890204,6.519466237564506,26.67724644817724
5,2021-02,0.280997825025,0.13394155000000002,0.49895314999999946,16.827818155044266,7.158489543809881,32.56524125182555
6,2021-03,0.2893846502875,0.1394954,0.5089499499999998,17.505696541595185,7.7544202131004525,33.93926153059906
7,2021-04,0.297975300375,0.14497079999999998,0.5171577499999997,17.729287495829308,7.940393503048634,34.878758587379565
8,2021-05,0.3067653238875,0.1503599,0.5258616999999999,21.29259340602897,9.990808298942053,44.01132558543026
9,2021-06,0.31574934178749997,0.15594095,0.5349809499999997,18.394110410125162,8.302523661754146,37.19831638292997
10,2021-07,0.32492099006249997,0.16118875,0.54568445,20.97676651314997,10.037293438269879,42.70098895275311
11,2021-08,0.33427295949999997,0.16675389999999998,0.5565142999999998,17.02363602359374,7.675581072212781,32.868590329879936
12,2021-09,0.3437969438875,0.1723996,0.5661894999999999,14.444064934182968,6.047397515408246,26.00807333600991
13,2021-10,0.353483705375,0.17824030000000002,0.5762490499999998,14.73882700801631,6.47980558931958,26.72719272507867
14,2021-11,0.3633230924375,0.184485,0.5874074499999999,16.381464342074885,6.871404337316238,30.87122438028982
15,2021-12,0.3733040930875,0.19026225,0.596090799999999,16.56007272837413,6.873614003534777,31.549760579152075
16,2022-01,0.38341486151250004,0.19663755,0.6068425000000001,14.539904722500829,6.24616390467627,26.013080515710616
17,2022-02,0.3936428341375,0.20295155,0.6196562999999999,16.516471693421778,7.23076345943273,31.506393983582363
18,2022-03,0.40397478532500003,0.20946260000000003,0.6315769999999999,16.64467539084473,7.3324744021806945,31.510853326377664
19,2022-04,0.41439692497499997,0.2163096,0.64149745,15.541517946660838,7.374496286428375,27.946137609552782
20,2022-05,0.4248950251,0.22276705,0.6508353499999999,16.667035968393364,8.478147753137556,29.87184805950607
