Checkpoint,Package,Feasible,E[L_market],E[L_board],E[L_ceo],L_market 5%,L_market 95%,E[impl_cost],E[car_penalty],E[strike1_penalty],E[revolt_penalty],E[exit_penalty],E[strike2_penalty],E[spill_penalty],E[switch_cost],E[ceo_agency],P(strike1),P(revolt),P(strike2),P(spill),Mean CAR (m1),CAR 5%,Mean exit pressure,P(CEO stay),P(CEO resign),P(CEO sacked),Mean B_mkt_agm,Mean B_mgmt_agm,Belief gap,gamma_ASA_eff,strike_count,prev_action,market_optimal,board_optimal,ceo_preferred
C0,D0 Minimal,True,5.622517558678938,7.814475669009203,0.09985373673261054,4.1,7.501927150193618,0.10000000000000002,0.1994149469304421,3.998,1.27575,0.049352611748496755,0.0,0.0,0.0,0.0,0.9995,0.5103,0.0,0.0,0.0011442457688230546,-0.021593783522574465,-0.03603868164135379,1.0,0.0,0.0,0.06341086801188717,1.063955301303381,1.0005444332914937,1.8419331413282325,0,,False,False,True
C0,D1 Review-first,True,4.163721214429783,6.054322160822337,0.14129024670908186,0.6061098266904353,4.824407944552426,0.25,0.06516098683632747,3.7944,0.051625,0.0025352275934554776,0.0,0.0,0.0,0.0,0.9486,0.02065,0.0,0.0,0.011514181263880442,-0.011637257361139398,0.9423759651684366,1.0,0.0,0.0,-1.5662190580134827,-0.9509158095621331,0.6153032484513496,1.3266185686804997,0,,False,False,False
C0,D2 Accountability-lite,True,4.362504773551382,6.270578580163535,0.1949174019405714,4.35,5.394451421397631,0.3499999999999999,0.07966960776228571,3.8126,0.115,0.005235165789097348,0.0,0.0,0.0,0.0,0.95315,0.046,0.0,0.0,0.009763184234495773,-0.013176686257394772,0.7675765352330898,1.0,0.0,0.0,-1.2819549240697306,-0.13726181742121843,1.1446931066485122,1.1264312347775784,0,,False,False,False
C0,D3 CEO transition,True,3.931153694087435,5.5195777705655775,1.1672186321232183,0.7,4.939281482174373,0.6999999999999998,0.03111452849287325,3.1882,0.01125,0.0005891655945608272,0.0,0.0,0.0,0.8094400000000002,0.79705,0.0045,0.0,0.0,0.019521627132765385,-0.0059086807200345775,1.3711338372439572,0.1539,0.76325,0.08285,-1.4713325196229892,-0.7580046695538079,0.7133278500691813,1.16463099451193,0,,True,True,False
C1,D3 CEO transition,True,4.024733233447287,5.666318675085465,1.142882817320562,0.7,4.856992505490614,0.6999999999999998,0.023531269282247923,3.2914,0.009375,0.0004269641650379086,0.0,0.0,0.0,0.7870000000000001,0.82285,0.00375,0.0,0.0,0.021713512813423513,-0.003834497565879777,1.451980578554776,0.16765,0.75665,0.0757,-1.6189259599477057,-0.9435479340639776,0.6753780258837281,1.308956193059204,0,D3 CEO transition,True,True,True
C2,D3 CEO transition,True,6.523343989006305,8.64812049175473,1.7869080169180496,4.7,8.861556120565963,0.6999999999999998,0.4197920676721993,3.9328,1.40225,0.06850192133410576,0.0,0.0,0.0,1.3319600000000003,0.9832,0.5609,0.0,0.0,-0.005094469704367931,-0.03735441374477607,-0.1206733887230037,0.03755,0.6112,0.35125,1.0265405085675312,2.053464854584527,1.026924346016996,1.323742725309446,0,D3 CEO transition,True,True,True
C3,D0 Minimal,True,24.8273015026247,29.39293862696853,0.44774062500466755,23.82749487394739,25.81799281580846,0.10000000000000002,1.5909625000186698,0.0,0.0,0.14648900260603162,7.9996,14.99025,5.0,0.0,0.99995,0.84,0.99995,0.99935,-0.03975918483224427,-0.06314116992902472,-0.663038033590675,1.0,0.0,0.0,1.0964739791437994,3.09327090242647,1.9967969232826706,3.0496647192088253,1,D3 CEO transition,False,False,False
C3,D1 Review-first,True,15.776468658996688,19.48047649424752,0.4209921647491721,0.907929407341496,25.20794402294667,0.25,1.1839686589966885,0.0,0.0,0.0,5.98,8.3625,4.0,0.0,0.7475,0.0,0.7475,0.5575,-0.029469886076986643,-0.052593236083902324,2.9987662095169827,1.0,0.0,0.0,-4.996090703981774,-6.774500564058115,-1.7784098600763407,2.603273709514408,1,D3 CEO transition,False,False,True
C3,D2 Accountability-lite,True,20.32370090341823,23.010588177563676,0.48810838133689105,1.5210470604574151,25.456968033065895,0.3499999999999999,1.2524335253475642,0.0,0.0,1.7378070666385102e-05,7.13,11.59125,3.0,0.0,0.89125,0.0,0.89125,0.77275,-0.031214597428561745,-0.0543710847380166,2.359041987677389,1.0,0.0,0.0,-3.9310857599200273,-2.798810006550373,1.1322757533696541,2.754217387006322,1,D3 CEO transition,False,False,False
C3,D3 CEO transition,True,5.98612214645028,5.750341609837711,0.7659005366125702,0.7133853862647042,24.885599232266216,0.6999999999999998,0.9431221464502807,0.0,0.0,0.0,2.564,1.779,0.0,0.18012000000000003,0.3205,0.0,0.3205,0.1186,-0.02314990174731709,-0.04776166594282316,2.992063962220803,0.77805,0.22035,0.0016,-4.762105843581963,-5.959277868833579,-1.1971720252516151,1.6045656244715791,1,D3 CEO transition,True,True,False
