Checkpoint,D,A,CEO_action,asa_shift,asa_cost,E[L_board],E[L_market],E[L_ceo],E[U_ASA],P(strike1),P(strike2),P(spill),P(revolt),P(CEO resign),P(CEO sacked),Mean CAR,Mean exit,E[impl_cost],E[car_penalty],E[strike1_penalty],E[revolt_penalty],E[exit_penalty],E[strike2_penalty],E[spill_penalty],E[switch_cost],E[ceo_agency],Mean B_mkt_agm,strike_count,prev_action
C0,D0 Minimal,DoNothing,Stay,0.0,0.0,3.81183259157105,5.031535122094732,0.09920740731566702,1.6997,0.84985,0.0,0.0,0.51425,0.0,0.0,0.0013194367639567661,-0.04049488769076569,0.09999999999999999,0.19682962926266806,3.3994,1.285625,0.049680492832064944,0.0,0.0,0.0,0.0,0.06341086801188715,0,
C0,D0 Minimal,DoNothing,Resign,0.0,0.0,0.8502918050224365,2.0624640733632487,0.8626162696706935,0.8245,0.41225,0.0,0.0,0.10115,1.0,0.0,0.013303416512453595,0.5620020265795421,0.09999999999999999,0.0504650786827738,1.649,0.252875,0.010123994680475019,0.0,0.0,0.0,0.7999999999999999,0.059425949337342604,0,
C0,D0 Minimal,RecommendStrike,Stay,0.5,0.3,5.1744095005556945,5.402254334074259,0.09983736234490727,1.5959999999999996,0.948,0.0,0.0,0.50455,0.0,0.0,0.001295499574445903,-0.033015972302912755,0.09999999999999999,0.19934944937962906,3.792,1.261375,0.04952988469463025,0.0,0.0,0.0,0.0,0.05109527856537676,0,
C0,D0 Minimal,RecommendStrike,Resign,0.5,0.3,1.8099511877063683,3.019334916941825,0.862921262382971,1.0032,0.6516,0.0,0.0,0.1004,1.0,0.0,0.013286053854703186,0.5633188489912273,0.09999999999999999,0.051685049531883784,2.6064,0.251,0.010249867409940994,0.0,0.0,0.0,0.7999999999999999,0.052602520583708984,0,
C0,D1 Review-first,DoNothing,Stay,0.0,0.0,0.474111651775411,1.012065535700548,0.1406471248113195,0.3223,0.16115,0.0,0.0,0.0209,0.0,0.0,0.011444595324607405,0.936177383184935,0.25,0.06258849924527798,0.6446,0.05225,0.002627036455269853,0.0,0.0,0.0,0.0,-1.5570817579602871,0,
C0,D1 Review-first,DoNothing,Resign,0.0,0.0,0.2665833517030572,0.3256361356040762,0.9275406300560589,0.0316,0.0158,0.0,0.0,0.00085,1.0,0.0,0.023522455114495504,1.5426018483153132,0.25,0.010162520224235612,0.0632,0.002125,0.0001486153798406409,0.0,0.0,0.0,0.7999999999999999,-1.5572153452914872,0,
C0,D1 Review-first,RecommendStrike,Stay,0.5,0.3,0.8192685863298466,1.7942997817731288,0.14141898374312165,0.4131,0.35655,0.0,0.0,0.01995,0.0,0.0,0.011471447543778115,0.9359161405742691,0.25,0.06567593497248654,1.4262,0.049875,0.0025488468006421884,0.0,0.0,0.0,0.0,-1.5584710906773838,0,
C0,D1 Review-first,RecommendStrike,Resign,0.5,0.3,0.3046722429359067,0.4891963239145423,0.9277271769817126,-0.18719999999999998,0.0564,0.0,0.0,0.001,1.0,0.0,0.023522872826098877,1.53835327364821,0.25,0.010908707926850527,0.2256,0.0025,0.00018761598769174312,0.0,0.0,0.0,0.7999999999999999,-1.5622629559593264,0,
C0,D2 Accountability-lite,DoNothing,Stay,0.0,0.0,0.7599186068101239,1.5768081424134983,0.19481053474363666,0.5137,0.25685,0.0,0.0,0.0461,0.0,0.0,0.009664842352043235,0.767506042264641,0.35000000000000003,0.0792421389745466,1.0274,0.11525,0.0049160034389518865,0.0,0.0,0.0,0.0,-1.279432140127122,0,
C0,D2 Accountability-lite,DoNothing,Resign,0.0,0.0,0.3768477402630986,0.4996469870174646,0.9785447799640317,0.0649,0.03245,0.0,0.0,0.0021,1.0,0.0,0.021773103192381557,1.3666874231927917,0.35000000000000003,0.014179119856127152,0.1298,0.00525,0.0004178671613375143,0.0,0.0,0.0,0.7999999999999999,-1.2811365852966294,0,
C0,D2 Accountability-lite,RecommendStrike,Stay,0.5,0.3,1.3892696053320106,2.5205178071093477,0.1955853919883493,0.6842,0.4921,0.0,0.0,0.04585,0.0,0.0,0.009703029627084452,0.767938322953886,0.35000000000000003,0.0823415679533971,1.9684,0.114625,0.005151239155950418,0.0,0.0,0.0,0.0,-1.2756335113527282,0,
C0,D2 Accountability-lite,RecommendStrike,Resign,0.5,0.3,0.4448338602582464,0.774845147010995,0.9784733743284323,-0.09669999999999998,0.10165,0.0,0.0,0.0016,1.0,0.0,0.02176429097582871,1.3770382468292197,0.35000000000000003,0.013893497313730012,0.4066,0.004,0.0003516496972652263,0.0,0.0,0.0,0.7999999999999999,-1.2901333579877903,0,
