scenario_id,action,draw,score,action_order_position
T1_ceo_stay_sacked,no_strike,45,2,1
T1_ceo_stay_sacked,rec_strike,45,4,2
T1_ceo_stay_nothing,no_strike,34,1,2
T1_ceo_stay_nothing,rec_strike,34,5,1
T1_ceo_stay_sacked,no_strike,35,2,1
T1_ceo_stay_sacked,rec_strike,35,4,2
T1_ceo_resign_review,no_strike,36,4,1
T1_ceo_resign_review,rec_strike,36,3,2
T1_ceo_stay_review,no_strike,12,3,2
T1_ceo_stay_review,rec_strike,12,4,1
T1_ceo_stay_nothing,rec_strike,1,5,1
T1_ceo_stay_nothing,no_strike,1,1,2
T1_ceo_stay_review,no_strike,34,3,1
T1_ceo_stay_review,rec_strike,34,4,2
T1_ceo_stay_nothing,no_strike,23,1,1
T1_ceo_stay_nothing,rec_strike,23,5,2
T1_ceo_resign_nothing,no_strike,4,1,1
T1_ceo_resign_nothing,rec_strike,4,5,2
T1_ceo_stay_sacked,no_strike,44,2,2
T1_ceo_stay_sacked,rec_strike,44,4,1
T1_ceo_resign_review,no_strike,6,4,2
T1_ceo_resign_review,rec_strike,6,3,1
T1_ceo_stay_sacked,no_strike,18,2,1
T1_ceo_stay_sacked,rec_strike,18,5,2
T2_delay_001,rec_strike,4,4,1
T2_delay_001,no_strike,4,2,2
T1_ceo_resign_review,no_strike,5,4,1
T1_ceo_resign_review,rec_strike,5,3,2
T2_delay_001,no_strike,15,2,1
T2_delay_001,rec_strike,15,5,2
T1_ceo_stay_review,no_strike,14,3,1
T1_ceo_stay_review,rec_strike,14,4,2
T1_ceo_resign_review,no_strike,28,4,2
T1_ceo_resign_review,rec_strike,28,3,1
T1_ceo_resign_nothing,no_strike,11,1,1
T1_ceo_resign_nothing,rec_strike,11,5,2
T1_ceo_resign_review,no_strike,35,4,1
T1_ceo_resign_review,rec_strike,35,3,2
T1_ceo_stay_review,no_strike,11,3,1
T1_ceo_stay_review,rec_strike,11,4,2
T1_ceo_stay_nothing,rec_strike,22,5,1
T1_ceo_stay_nothing,no_strike,22,1,2
T1_ceo_stay_nothing,no_strike,0,1,1
T1_ceo_stay_nothing,rec_strike,0,5,2
T1_ceo_stay_review,rec_strike,33,4,1
T1_ceo_stay_review,no_strike,33,2,2
T1_ceo_stay_sacked,no_strike,19,2,1
T1_ceo_stay_sacked,rec_strike,19,4,2
T1_ceo_stay_review,rec_strike,46,4,1
T1_ceo_stay_review,no_strike,46,2,2
T1_ceo_resign_review,no_strike,3,4,2
T1_ceo_resign_review,rec_strike,3,3,1
T1_ceo_resign_nothing,no_strike,44,1,1
T1_ceo_resign_nothing,rec_strike,44,5,2
T1_ceo_stay_sacked,no_strike,20,2,1
T1_ceo_stay_sacked,rec_strike,20,4,2
T1_ceo_resign_review,no_strike,46,4,2
T1_ceo_resign_review,rec_strike,46,3,1
T2_delay_001,rec_strike,3,5,1
T2_delay_001,no_strike,3,2,2
T1_ceo_resign_review,no_strike,16,4,1
T1_ceo_resign_review,rec_strike,16,3,2
T1_ceo_stay_nothing,no_strike,21,1,1
T1_ceo_stay_nothing,rec_strike,21,5,2
T1_ceo_resign_nothing,no_strike,43,1,1
T1_ceo_resign_nothing,rec_strike,43,5,2
T1_ceo_stay_sacked,no_strike,33,2,1
T1_ceo_stay_sacked,rec_strike,33,4,2
T2_delay_001,no_strike,14,2,1
T2_delay_001,rec_strike,14,4,2
T1_ceo_stay_sacked,no_strike,42,3,2
T1_ceo_stay_sacked,rec_strike,42,4,1
T1_ceo_resign_review,no_strike,22,4,1
T1_ceo_resign_review,rec_strike,22,3,2
T1_ceo_stay_review,no_strike,8,4,1
T1_ceo_stay_review,rec_strike,8,3,2
T1_ceo_stay_review,no_strike,32,4,2
T1_ceo_stay_review,rec_strike,32,3,1
T1_ceo_resign_review,no_strike,49,3,2
T1_ceo_resign_review,rec_strike,49,4,1
T1_ceo_resign_review,no_strike,37,4,1
T1_ceo_resign_review,rec_strike,37,3,2
T1_ceo_resign_review,no_strike,34,4,2
T1_ceo_resign_review,rec_strike,34,3,1
T1_ceo_resign_review,no_strike,47,4,2
T1_ceo_resign_review,rec_strike,47,3,1
T1_ceo_resign_nothing,no_strike,48,1,2
T1_ceo_resign_nothing,rec_strike,48,5,1
T1_ceo_stay_review,no_strike,45,3,2
T1_ceo_stay_review,rec_strike,45,4,1
T2_delay_001,rec_strike,2,4,1
T2_delay_001,no_strike,2,2,2
T1_ceo_stay_nothing,rec_strike,20,5,1
T1_ceo_stay_nothing,no_strike,20,1,2
T1_ceo_resign_nothing,no_strike,47,1,1
T1_ceo_resign_nothing,rec_strike,47,5,2
T1_ceo_resign_nothing,rec_strike,27,5,1
T1_ceo_resign_nothing,no_strike,27,1,2
T1_ceo_resign_nothing,no_strike,10,1,1
T1_ceo_resign_nothing,rec_strike,10,5,2
T1_ceo_stay_review,no_strike,31,3,2
T1_ceo_stay_review,rec_strike,31,4,1
T1_ceo_stay_sacked,no_strike,32,2,2
T1_ceo_stay_sacked,rec_strike,32,4,1
T2_delay_001,no_strike,31,3,2
T2_delay_001,rec_strike,31,4,1
T1_ceo_resign_review,no_strike,33,4,2
T1_ceo_resign_review,rec_strike,33,3,1
T1_ceo_stay_nothing,rec_strike,19,5,1
T1_ceo_stay_nothing,no_strike,19,1,2
T2_delay_001,rec_strike,1,4,1
T2_delay_001,no_strike,1,2,2
T1_ceo_resign_review,no_strike,48,3,1
T1_ceo_resign_review,rec_strike,48,4,2
T1_ceo_resign_nothing,no_strike,37,1,2
T1_ceo_resign_nothing,rec_strike,37,5,1
T2_delay_001,no_strike,13,3,2
T2_delay_001,rec_strike,13,4,1
T1_ceo_stay_nothing,no_strike,46,1,1
T1_ceo_stay_nothing,rec_strike,46,5,2
T1_ceo_stay_nothing,rec_strike,2,5,1
T1_ceo_stay_nothing,no_strike,2,1,2
T1_ceo_stay_sacked,rec_strike,43,4,1
T1_ceo_stay_sacked,no_strike,43,2,2
T1_ceo_stay_review,no_strike,44,3,2
T1_ceo_stay_review,rec_strike,44,4,1
T1_ceo_stay_review,no_strike,30,4,1
T1_ceo_stay_review,rec_strike,30,5,2
T2_delay_001,rec_strike,0,5,1
T2_delay_001,no_strike,0,2,2
T1_ceo_stay_sacked,rec_strike,31,4,1
T1_ceo_stay_sacked,no_strike,31,3,2
T1_ceo_stay_nothing,rec_strike,18,5,1
T1_ceo_stay_nothing,no_strike,18,1,2
T1_ceo_stay_nothing,no_strike,9,1,1
T1_ceo_stay_nothing,rec_strike,9,5,2
T1_ceo_resign_review,no_strike,32,4,1
T1_ceo_resign_review,rec_strike,32,2,2
T1_ceo_resign_nothing,no_strike,36,1,2
