scenario_id,action,n_draws,mean_score,sd_score
T1_ceo_resign_nothing,no_strike,100,1.0,0.0
T1_ceo_resign_nothing,rec_strike,100,5.0,0.0
T1_ceo_resign_review,no_strike,150,3.84,0.46303347611160905
T1_ceo_resign_review,rec_strike,150,3.1,0.5
T1_ceo_stay_nothing,no_strike,100,1.0,0.0
T1_ceo_stay_nothing,rec_strike,100,5.0,0.0
T1_ceo_stay_review,no_strike,100,3.32,0.6144916598294887
T1_ceo_stay_review,rec_strike,100,3.76,0.7631513611335565
T1_ceo_stay_sacked,no_strike,100,2.38,0.5617828762075256
T1_ceo_stay_sacked,rec_strike,100,4.08,0.3370459909270543
T2_combined_013,no_strike,50,4.54,1.043264108459598
T2_combined_013,rec_strike,50,2.0,0.9797958971132712
T2_combined_014,no_strike,50,2.56,0.5713142742834281
T2_combined_014,rec_strike,50,4.0,0.282842712474619
T2_delay_001,no_strike,50,2.12,0.32496153618543844
T2_delay_001,rec_strike,50,4.16,0.36660605559646725
T2_delay_002,no_strike,50,1.88,0.43081318457076034
T2_delay_002,rec_strike,50,4.7,0.458257569495584
T2_delay_003,no_strike,50,1.84,0.36660605559646714
T2_delay_003,rec_strike,50,4.42,0.4935585071701226
T2_delay_low_profile_004,no_strike,50,2.42,0.4935585071701226
T2_delay_low_profile_004,rec_strike,50,4.02,0.13999999999999999
T2_delay_low_profile_005,no_strike,50,2.14,0.34698703145794946
T2_delay_low_profile_005,rec_strike,50,4.0,0.0
T2_low_profile_007,no_strike,50,1.06,0.23748684174075838
T2_low_profile_007,rec_strike,50,5.0,0.0
T2_low_profile_008,no_strike,50,1.56,0.4963869458396343
T2_low_profile_008,rec_strike,50,4.94,0.23748684174075835
T2_low_profile_009,no_strike,50,3.88,0.43081318457076034
T2_low_profile_009,rec_strike,50,2.7,0.6082762530298219
T2_low_profile_010,no_strike,50,3.7,0.6403124237432848
T2_low_profile_010,rec_strike,50,2.88,0.7386474125047755
T2_low_profile_011,no_strike,50,3.98,0.24413111231467405
T2_low_profile_011,rec_strike,50,2.46,0.5730619512757761
T2_low_profile_012,no_strike,50,4.92,0.2712931993250107
T2_low_profile_012,rec_strike,50,1.76,0.4270831300812525
T3_framing_001,no_strike,50,1.36,0.48
T3_framing_001,rec_strike,50,5.0,0.0
T3_framing_002,no_strike,50,1.84,0.3666060555964672
T3_framing_002,rec_strike,50,4.9,0.3
T3_framing_003,no_strike,50,1.56,0.4963869458396343
T3_framing_003,rec_strike,50,5.0,0.0
T3_framing_004,no_strike,50,1.74,0.4386342439892262
T3_framing_004,rec_strike,50,5.0,0.0
T3_sequence_005,no_strike,50,4.52,0.4995998398718719
T3_sequence_005,rec_strike,50,1.64,0.48
T3_sequence_006,no_strike,50,4.36,0.48
T3_sequence_006,rec_strike,50,1.92,0.2712931993250107
T3_sequence_007,no_strike,50,3.14,0.8487638069569179
T3_sequence_007,rec_strike,50,3.4,1.019803902718557
T3_sequence_008,no_strike,50,3.5,0.6403124237432849
T3_sequence_008,rec_strike,50,3.16,0.8089499366462672
