,w_inaction_base,w_inaction_no_review,w_inaction_delay,w_passivity,w_removal,w_remove_ceo_overwhelming,w_review_negative,w_review_balanced,w_review_post_removal,w_ceo_accountability,w_strike,w_overwhelming,log_lambda
w_inaction_base,0.24441290062244828,-0.022183836032677262,0.014678925868105354,-0.02284871558804727,1.878649539498864e-05,2.6537078529422934e-05,0.02264162119233207,0.008431660133858944,-6.047765204124935e-06,0.00020851087071611541,0.013927388372845675,0.005017373367234923,0.0
w_inaction_no_review,-0.022183836032677262,0.04627780568238825,0.001543390925958045,0.036918348138725306,4.94201652052019e-07,-9.847998719934958e-06,0.004718574168212878,0.003206163982188163,-1.0210840222937664e-05,0.000819324082819092,0.0014670137785272592,0.004373177413860537,0.0
w_inaction_delay,0.014678925868105354,0.001543390925958045,0.028274870148360054,0.0005433754531479374,-2.4558632240979203e-05,-1.5042546174072085e-05,0.00874315580237682,0.0017673023083493303,-5.471178879425471e-06,7.41485893328825e-05,0.001055027735026831,0.0033007468965666176,0.0
w_passivity,-0.02284871558804727,0.036918348138725306,0.0005433754531479374,0.16033214746588137,-2.1492367099640816e-05,-3.0362769705562208e-05,0.01049927450163643,0.009153759663763262,-4.483717915813622e-08,0.00048414846312024235,0.0038939033308141645,0.005519445991554367,0.0
w_removal,1.878649539498864e-05,4.94201652052019e-07,-2.4558632240979203e-05,-2.1492367099640816e-05,2.360756372339696e-05,1.993239538100308e-05,2.9413423470656457e-05,8.801755708470167e-05,-3.206514837167208e-08,1.8551923228283793e-05,-1.498631289870276e-05,1.5822017080813437e-05,0.0
w_remove_ceo_overwhelming,2.6537078529422934e-05,-9.847998719934958e-06,-1.5042546174072085e-05,-3.0362769705562208e-05,1.993239538100308e-05,2.0097783047095163e-05,-3.2805475354135557e-06,6.866125586625924e-05,-3.2771316119776286e-08,1.5310351248459294e-05,-9.051063166582749e-06,7.207236518441313e-06,0.0
w_review_negative,0.02264162119233207,0.004718574168212878,0.00874315580237682,0.01049927450163643,2.9413423470656457e-05,-3.2805475354135557e-06,0.5330324363969215,0.17004685708780248,-1.571724841989901e-05,0.0008242182916260773,0.005863348450068732,-0.0012696780860854712,0.0
w_review_balanced,0.008431660133858944,0.003206163982188163,0.0017673023083493303,0.009153759663763262,8.801755708470167e-05,6.866125586625924e-05,0.17004685708780248,1.6603879973364921,-3.505468066138658e-05,-0.0005991624351932049,-0.010715329332769662,-0.008216965133888405,0.0
w_review_post_removal,-6.047765204124935e-06,-1.0210840222937664e-05,-5.471178879425471e-06,-4.483717915813622e-08,-3.206514837167208e-08,-3.2771316119776286e-08,-1.571724841989901e-05,-3.505468066138658e-05,4.352520187092235e-06,-4.634301890376075e-06,6.397311684276553e-06,-9.076866961925956e-06,0.0
w_ceo_accountability,0.00020851087071611541,0.000819324082819092,7.41485893328825e-05,0.00048414846312024235,1.8551923228283793e-05,1.5310351248459294e-05,0.0008242182916260773,-0.0005991624351932049,-4.634301890376075e-06,0.0038846914969631083,0.00013547202159543554,-0.00018775371221001056,0.0
w_strike,0.013927388372845675,0.0014670137785272592,0.001055027735026831,0.0038939033308141645,-1.498631289870276e-05,-9.051063166582749e-06,0.005863348450068732,-0.010715329332769662,6.397311684276553e-06,0.00013547202159543554,0.24360548157914227,-0.025629912942778478,0.0
w_overwhelming,0.005017373367234923,0.004373177413860537,0.0033007468965666176,0.005519445991554367,1.5822017080813437e-05,7.207236518441313e-06,-0.0012696780860854712,-0.008216965133888405,-9.076866961925956e-06,-0.00018775371221001056,-0.025629912942778478,0.2510105229936224,0.0
log_lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
