scenario_id,model,prompt_variant,n_successful_seeds,mean_prob_vector,var_prob_vector,mean_factor_ratings,var_factor_ratings,mean_seed_variance
S1_001,gpt-4o-mini,1,150,"{""D0_minimal"": 0.08299999999999999, ""D1_review"": 0.415, ""D3_ceo_transition"": 0.502}","{""D0_minimal"": 0.001261, ""D1_review"": 0.008325, ""D3_ceo_transition"": 0.012395999999999999}","[4.04, 4.56, 4.28, 3.2, 3.8, 3.12, 3.72, 3.1, 4.22, 3.2]","[0.838399999999999, 0.2864000000000006, 0.6016000000000007, 0.4800000000000005, 0.6800000000000009, 0.4256000000000001, 0.5616000000000004, 0.41000000000000003, 0.41160000000000063, 0.6400000000000008]",0.007327333333333334
S1_002,gpt-4o-mini,1,50,"{""D0_minimal"": 0.11199999999999999, ""D1_review"": 0.463, ""D3_ceo_transition"": 0.425}","{""D0_minimal"": 0.0018560000000000002, ""D1_review"": 0.005680999999999999, ""D3_ceo_transition"": 0.008325}","[2.42, 3.1, 2.94, 2.76, 3.88, 2.66, 2.92, 2.76, 3.32, 3.18]","[0.7235999999999998, 0.5700000000000002, 0.6164000000000001, 0.4224000000000004, 0.3456, 0.4244000000000003, 0.43359999999999954, 0.22240000000000004, 0.5375999999999997, 0.30760000000000026]",0.005287333333333334
S1_003,gpt-4o-mini,1,50,"{""D0_minimal"": 0.066, ""D1_review"": 0.34, ""D3_ceo_transition"": 0.594}","{""D0_minimal"": 0.000544, ""D1_review"": 0.0041, ""D3_ceo_transition"": 0.006064000000000001}","[4.98, 4.14, 4.14, 3.0, 4.24, 2.82, 3.56, 2.92, 4.34, 3.0]","[0.019599999999999985, 0.3604000000000002, 0.3604000000000001, 0.28, 0.34240000000000026, 0.2676000000000001, 0.3263999999999998, 0.3535999999999996, 0.3044000000000001, 0.4]",0.003569333333333334
S1_004,gpt-4o-mini,1,50,"{""D0_minimal"": 0.066, ""D1_review"": 0.3459999999999999, ""D3_ceo_transition"": 0.5880000000000001}","{""D0_minimal"": 0.000544, ""D1_review"": 0.0033840000000000007, ""D3_ceo_transition"": 0.005356}","[4.94, 4.18, 4.16, 2.92, 4.36, 2.82, 3.38, 2.76, 4.18, 3.22]","[0.05640000000000009, 0.30759999999999954, 0.2544000000000001, 0.19360000000000002, 0.39039999999999997, 0.26760000000000006, 0.6755999999999996, 0.34240000000000026, 0.3475999999999997, 0.37160000000000026]",0.003094666666666667
S1_005,gpt-4o-mini,1,50,"{""D0_minimal"": 0.046599999999999996, ""D1_review"": 0.2748, ""D3_ceo_transition"": 0.6786}","{""D0_minimal"": 0.00023444000000000004, ""D1_review"": 0.0022169599999999996, ""D3_ceo_transition"": 0.0023960399999999986}","[5.0, 4.76, 4.8, 3.3, 4.38, 3.04, 3.9, 2.96, 4.5, 3.16]","[0.0, 0.18239999999999998, 0.20000000000000004, 0.37000000000000005, 0.3956, 0.19839999999999985, 0.12999999999999998, 0.23839999999999986, 0.29, 0.49440000000000045]",0.0016158133333333327
S1_006,gpt-4o-mini,1,50,"{""D0_minimal"": 0.042199999999999994, ""D1_review"": 0.28240000000000004, ""D3_ceo_transition"": 0.6754000000000001}","{""D0_minimal"": 0.00028515999999999996, ""D1_review"": 0.0018902399999999992, ""D3_ceo_transition"": 0.002220839999999999}","[5.0, 4.8, 4.7, 3.34, 4.52, 3.08, 3.82, 2.94, 4.44, 3.58]","[0.0, 0.15999999999999998, 0.21, 0.2644000000000001, 0.36960000000000015, 0.31359999999999966, 0.2676000000000003, 0.29640000000000016, 0.2863999999999997, 0.3636000000000001]",0.0014654133333333328
S1_007,gpt-4o-mini,1,50,"{""D0_minimal"": 0.03780000000000001, ""D1_review"": 0.28640000000000004, ""D3_ceo_transition"": 0.6758}","{""D0_minimal"": 0.00038916000000000005, ""D1_review"": 0.0028550400000000005, ""D3_ceo_transition"": 0.002800359999999999}","[5.0, 4.66, 4.72, 3.46, 4.44, 2.96, 3.82, 2.88, 4.44, 3.36]","[0.0, 0.34440000000000026, 0.20160000000000008, 0.4084000000000001, 0.4463999999999999, 0.27839999999999987, 0.38759999999999983, 0.22560000000000013, 0.40639999999999993, 0.5504000000000002]",0.002014853333333333
S1_008,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.33099999999999996, ""Drev_no_action"": 0.08399999999999999, ""Drev_sack_ceo"": 0.585}","{""Drev_commission_review"": 0.013289, ""Drev_no_action"": 0.0012439999999999999, ""Drev_sack_ceo"": 0.018125}","[4.96, 4.14, 4.12, 3.0, 4.28, 2.88, 3.62, 2.86, 4.28, 3.04]","[0.03840000000000002, 0.20040000000000005, 0.5455999999999999, 0.4, 0.40159999999999985, 0.22560000000000013, 0.5155999999999998, 0.3203999999999999, 0.4815999999999998, 0.5184000000000002]",0.010886
S1_009,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.236, ""Drev_no_action"": 0.0504, ""Drev_sack_ceo"": 0.7136}","{""Drev_commission_review"": 0.007503999999999998, ""Drev_no_action"": 6.784000000000001e-05, ""Drev_sack_ceo"": 0.007743040000000002}","[5.0, 4.66, 4.62, 3.32, 4.56, 2.88, 3.94, 2.98, 4.44, 3.24]","[0.0, 0.22440000000000015, 0.2755999999999997, 0.5775999999999996, 0.4463999999999999, 0.30560000000000015, 0.33639999999999987, 0.4195999999999999, 0.28639999999999977, 0.46240000000000053]",0.0051049599999999995
S1_010,gpt-4o-mini,1,150,"{""D0_minimal"": 0.051599999999999986, ""D1_review"": 0.25299999999999995, ""D3_ceo_transition"": 0.6954000000000002}","{""D0_minimal"": 0.00010543999999999998, ""D1_review"": 0.0012409999999999995, ""D3_ceo_transition"": 0.0014368399999999996}","[5.0, 4.84, 4.74, 3.52, 4.32, 3.18, 4.02, 3.04, 4.62, 3.38]","[0.0, 0.13440000000000035, 0.19239999999999965, 0.4496000000000007, 0.45760000000000134, 0.26760000000000045, 0.2195999999999997, 0.4384000000000012, 0.23559999999999978, 0.4355999999999994]",0.0009277599999999997
S1_011,gpt-4o-mini,1,100,"{""D0_minimal"": 0.04999999999999999, ""D1_review"": 0.247, ""D3_ceo_transition"": 0.7030000000000001}","{""D0_minimal"": 1.925929944387236e-34, ""D1_review"": 0.0012409999999999997, ""D3_ceo_transition"": 0.0012410000000000003}","[5.0, 4.8, 4.82, 3.58, 4.36, 3.2, 3.98, 3.0, 4.58, 3.32]","[0.0, 0.2399999999999998, 0.14759999999999965, 0.4036000000000003, 0.3904000000000003, 0.24000000000000007, 0.2596, 0.2, 0.24360000000000018, 0.49760000000000054]",0.0008273333333333332
S1_012,gpt-4o-mini,1,50,"{""D0_minimal"": 0.04999999999999999, ""D1_review"": 0.25300000000000006, ""D3_ceo_transition"": 0.6970000000000001}","{""D0_minimal"": 1.925929944387236e-34, ""D1_review"": 0.0006409999999999998, ""D3_ceo_transition"": 0.0006409999999999996}","[5.0, 4.86, 4.84, 3.62, 4.44, 3.06, 3.92, 3.12, 4.46, 3.36]","[0.0, 0.1604, 0.13439999999999985, 0.5156, 0.24639999999999979, 0.2564, 0.23359999999999967, 0.3456, 0.24840000000000018, 0.5904000000000003]",0.0004273333333333331
S1_013,gpt-4o-mini,1,50,"{""D0_minimal"": 0.04419999999999999, ""D1_review"": 0.19799999999999998, ""D3_ceo_transition"": 0.7578}","{""D0_minimal"": 0.00021636, ""D1_review"": 0.0022960000000000003, ""D3_ceo_transition"": 0.002709160000000002}","[5.0, 4.94, 4.8, 3.68, 4.6, 3.06, 4.06, 3.04, 4.72, 3.3]","[0.0, 0.056400000000000075, 0.20000000000000018, 0.33759999999999996, 0.39999999999999986, 0.29640000000000005, 0.1363999999999999, 0.3583999999999999, 0.20160000000000008, 0.4500000000000001]",0.0017405066666666674
S1_014,gpt-4o-mini,1,100,"{""D0_minimal"": 0.046599999999999996, ""D1_review"": 0.22099999999999997, ""D3_ceo_transition"": 0.7323999999999999}","{""D0_minimal"": 0.00013844, ""D1_review"": 0.001809, ""D3_ceo_transition"": 0.0019702400000000024}","[5.0, 4.92, 4.86, 3.58, 4.44, 3.04, 4.26, 3.08, 4.6, 3.62]","[0.0, 0.07360000000000011, 0.12040000000000015, 0.3236000000000003, 0.36640000000000034, 0.2784000000000001, 0.2323999999999997, 0.2335999999999995, 0.2799999999999999, 0.6355999999999995]",0.001305893333333334
S1_015,gpt-4o-mini,1,50,"{""D0_minimal"": 0.04899999999999999, ""D1_review"": 0.21799999999999997, ""D3_ceo_transition"": 0.7330000000000001}","{""D0_minimal"": 4.9000000000000005e-05, ""D1_review"": 0.0019759999999999995, ""D3_ceo_transition"": 0.002061000000000002}","[5.0, 4.9, 4.9, 3.74, 4.62, 2.92, 3.98, 2.96, 4.64, 3.44]","[0.0, 0.08999999999999998, 0.0899999999999999, 0.3524000000000001, 0.4756, 0.3535999999999998, 0.33960000000000007, 0.3183999999999999, 0.23039999999999985, 0.5264000000000001]",0.0013620000000000004
S1_016,gpt-4o-mini,1,50,"{""D0_minimal"": 0.044199999999999996, ""D1_review"": 0.20379999999999998, ""D3_ceo_transition"": 0.7519999999999999}","{""D0_minimal"": 0.00024836000000000004, ""D1_review"": 0.00218756, ""D3_ceo_transition"": 0.002696000000000002}","[5.0, 4.88, 4.74, 3.72, 4.32, 3.16, 3.94, 3.04, 4.6, 3.4]","[0.0, 0.2256000000000001, 0.3523999999999999, 0.36160000000000003, 0.49759999999999954, 0.2944000000000002, 0.41639999999999994, 0.19839999999999988, 0.23999999999999988, 0.43999999999999984]",0.0017106400000000005
S1_017,gpt-4o-mini,1,50,"{""D0_minimal"": 0.04739999999999999, ""D1_review"": 0.2, ""D3_ceo_transition"": 0.7526}","{""D0_minimal"": 9.124e-05, ""D1_review"": 0.0021000000000000003, ""D3_ceo_transition"": 0.002551240000000002}","[5.0, 4.86, 4.86, 3.74, 4.64, 3.18, 4.06, 3.04, 4.7, 3.4]","[0.0, 0.16039999999999974, 0.12039999999999992, 0.4323999999999998, 0.23039999999999983, 0.22760000000000002, 0.2564, 0.43839999999999996, 0.21, 0.4799999999999999]",0.0015808266666666674
S1_018,gpt-4o-mini,1,400,"{""Drev_commission_review"": 0.26899999999999996, ""Drev_no_action"": 0.0472, ""Drev_sack_ceo"": 0.6838}","{""Drev_commission_review"": 0.0010889999999999995, ""Drev_no_action"": 0.00012416, ""Drev_sack_ceo"": 0.0011195599999999988}","[5.0, 4.9, 4.8, 3.46, 4.52, 3.16, 3.9, 2.98, 4.44, 3.18]","[0.0, 0.12999999999999967, 0.15999999999999964, 0.4084000000000001, 0.36960000000000015, 0.2143999999999988, 0.37000000000000044, 0.29959999999999964, 0.24640000000000056, 0.3475999999999986]",0.0007775733333333328
S1_019,gpt-4o-mini,1,200,"{""Drev_commission_review"": 0.244, ""Drev_no_action"": 0.042800000000000005, ""Drev_sack_ceo"": 0.7132}","{""Drev_commission_review"": 0.0023639999999999998, ""Drev_no_action"": 0.00028016000000000006, ""Drev_sack_ceo"": 0.0029977600000000004}","[5.0, 5.0, 4.8, 3.5, 4.48, 3.12, 4.16, 2.84, 4.5, 3.26]","[0.0, 0.0, 0.1599999999999999, 0.69, 0.32960000000000106, 0.26560000000000017, 0.21439999999999965, 0.41439999999999905, 0.29, 0.4324000000000001]",0.00188064
S1_020,gpt-4o-mini,1,100,"{""Drev_commission_review"": 0.25000000000000006, ""Drev_no_action"": 0.04699999999999999, ""Drev_sack_ceo"": 0.7030000000000003}","{""Drev_commission_review"": 0.0024, ""Drev_no_action"": 0.000141, ""Drev_sack_ceo"": 0.002740999999999999}","[5.0, 4.9, 4.86, 3.64, 4.58, 3.04, 4.12, 2.96, 4.76, 3.34]","[0.0, 0.08999999999999991, 0.16040000000000026, 0.39039999999999964, 0.4836000000000004, 0.15839999999999985, 0.3055999999999994, 0.2784000000000001, 0.18240000000000034, 0.6244000000000006]",0.0017606666666666662
S1_021,gpt-4o-mini,1,150,"{""Drev_commission_review"": 0.24399999999999997, ""Drev_no_action"": 0.047399999999999984, ""Drev_sack_ceo"": 0.7086000000000001}","{""Drev_commission_review"": 0.0009639999999999995, ""Drev_no_action"": 0.00010724, ""Drev_sack_ceo"": 0.0010200400000000005}","[5.0, 4.94, 4.78, 3.66, 4.54, 3.1, 4.1, 2.98, 4.56, 3.46]","[0.0, 0.09640000000000035, 0.29160000000000036, 0.4644000000000004, 0.3683999999999997, 0.2100000000000006, 0.17000000000000062, 0.29959999999999953, 0.24640000000000048, 0.6084000000000008]",0.0006970933333333333
S1_022,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.231, ""Drev_no_action"": 0.052000000000000005, ""Drev_sack_ceo"": 0.7170000000000001}","{""Drev_commission_review"": 0.0026890000000000004, ""Drev_no_action"": 9.6e-05, ""Drev_sack_ceo"": 0.002761000000000002}","[4.98, 4.86, 4.78, 3.56, 4.56, 3.02, 3.98, 3.06, 4.42, 3.26]","[0.019599999999999982, 0.20040000000000005, 0.1716, 0.48639999999999994, 0.24639999999999979, 0.21960000000000018, 0.33960000000000035, 0.3364000000000001, 0.24359999999999982, 0.5123999999999996]",0.0018486666666666675
