scenario_id,action,draw,score,action_order_position
S1_001,D0_minimal,17,1,1
S1_001,D1_review,17,4,3
S1_001,D3_ceo_transition,17,3,2
S1_001,D0_minimal,9,1,1
S1_001,D1_review,9,4,2
S1_001,D3_ceo_transition,9,5,3
S1_001,D3_ceo_transition,1,4,1
S1_001,D0_minimal,1,1,2
S1_001,D1_review,1,5,3
S1_001,D0_minimal,3,1,1
S1_001,D3_ceo_transition,3,4,2
S1_001,D1_review,3,5,3
S1_001,D3_ceo_transition,27,3,1
S1_001,D1_review,27,4,2
S1_001,D0_minimal,27,1,3
S1_001,D0_minimal,13,1,1
S1_001,D1_review,13,4,2
S1_001,D3_ceo_transition,13,3,3
S1_001,D3_ceo_transition,5,2,1
S1_001,D1_review,5,5,2
S1_001,D0_minimal,5,1,3
S1_001,D1_review,6,5,1
S1_001,D0_minimal,6,1,2
S1_001,D3_ceo_transition,6,4,3
S1_001,D3_ceo_transition,14,2,1
S1_001,D1_review,14,5,2
S1_001,D0_minimal,14,1,3
S1_001,D0_minimal,22,1,1
S1_001,D1_review,22,4,2
S1_001,D3_ceo_transition,22,5,3
S1_001,D3_ceo_transition,18,4,1
S1_001,D0_minimal,18,1,2
S1_001,D1_review,18,5,3
S1_001,D0_minimal,29,1,1
S1_001,D1_review,29,4,3
S1_001,D3_ceo_transition,29,5,2
S1_001,D3_ceo_transition,7,5,1
S1_001,D1_review,7,4,2
S1_001,D0_minimal,7,1,3
S1_001,D1_review,10,5,1
S1_001,D0_minimal,10,1,2
S1_001,D3_ceo_transition,10,4,3
S1_001,D0_minimal,24,1,1
S1_001,D1_review,24,4,2
S1_001,D3_ceo_transition,24,5,3
S1_001,D0_minimal,0,1,1
S1_001,D1_review,0,4,2
S1_001,D3_ceo_transition,0,3,3
S1_001,D3_ceo_transition,23,4,1
S1_001,D0_minimal,23,1,2
S1_001,D1_review,23,5,3
S1_001,D3_ceo_transition,19,3,1
S1_001,D1_review,19,4,2
S1_001,D0_minimal,19,1,3
S1_001,D0_minimal,20,1,1
S1_001,D1_review,20,4,2
S1_001,D3_ceo_transition,20,5,3
S1_001,D3_ceo_transition,15,4,1
S1_001,D1_review,15,5,2
S1_001,D0_minimal,15,1,3
S1_001,D0_minimal,11,1,1
S1_001,D1_review,11,4,3
S1_001,D3_ceo_transition,11,3,2
S1_001,D3_ceo_transition,2,3,1
S1_001,D1_review,2,4,2
S1_001,D0_minimal,2,1,3
S1_001,D3_ceo_transition,25,4,1
S1_001,D0_minimal,25,1,2
S1_001,D1_review,25,5,3
S1_001,D0_minimal,8,1,1
S1_001,D1_review,8,4,2
S1_001,D3_ceo_transition,8,5,3
S1_001,D1_review,26,5,1
S1_001,D0_minimal,26,1,2
S1_001,D3_ceo_transition,26,4,3
S1_001,D0_minimal,4,1,1
S1_001,D1_review,4,4,2
S1_001,D3_ceo_transition,4,3,3
S1_001,D1_review,16,5,1
S1_001,D0_minimal,16,1,2
S1_001,D3_ceo_transition,16,4,3
S1_001,D1_review,21,5,1
S1_001,D0_minimal,21,1,2
S1_001,D3_ceo_transition,21,4,3
S1_001,D0_minimal,12,1,1
S1_001,D1_review,12,4,2
S1_001,D3_ceo_transition,12,5,3
S1_001,D0_minimal,28,1,1
S1_001,D1_review,28,4,2
S1_001,D3_ceo_transition,28,3,3
