scenario_id,kl_divergence,residuals,model_probs
S1_001,0.732489,"{""D0_minimal"": 0.0, ""D1_review"": -0.6, ""D3_ceo_transition"": -1.1179}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.0161}"
S1_002,0.270521,"{""D0_minimal"": 0.0, ""D1_review"": -0.08, ""D3_ceo_transition"": 0.4617}","{""D0_minimal"": -14.4326, ""D1_review"": -1.101, ""D3_ceo_transition"": -6.1059}"
S1_003,0.279053,"{""D0_minimal"": 0.0, ""D1_review"": -0.04, ""D3_ceo_transition"": 0.4817}","{""D0_minimal"": -14.4326, ""D1_review"": -1.101, ""D3_ceo_transition"": -6.1059}"
S1_004,0.278335,"{""D0_minimal"": 0.0, ""D1_review"": -0.02, ""D3_ceo_transition"": 0.4817}","{""D0_minimal"": -14.4326, ""D1_review"": -1.101, ""D3_ceo_transition"": -6.1059}"
S1_005,0.313588,"{""D0_minimal"": 0.0, ""D1_review"": -0.04, ""D3_ceo_transition"": 0.5417}","{""D0_minimal"": -14.4326, ""D1_review"": -1.101, ""D3_ceo_transition"": -6.1059}"
S1_006,0.331602,"{""D0_minimal"": 0.0, ""D1_review"": -0.12, ""D3_ceo_transition"": 0.5617}","{""D0_minimal"": -14.4326, ""D1_review"": -1.101, ""D3_ceo_transition"": -6.1059}"
S1_007,0.302309,"{""D0_minimal"": 0.0, ""D1_review"": -0.04, ""D3_ceo_transition"": 0.5221}","{""D0_minimal"": -14.4326, ""D1_review"": -1.101, ""D3_ceo_transition"": -6.1059}"
S1_008,2.426108,"{""Drev_no_action"": 0.14, ""Drev_commission_review"": 4.0, ""Drev_sack_ceo"": -1.28}","{""Drev_no_action"": -1.0914, ""Drev_commission_review"": -1.0914, ""Drev_sack_ceo"": 0.0}"
S1_009,2.263243,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 3.82, ""Drev_sack_ceo"": -0.88}","{""Drev_no_action"": -1.0914, ""Drev_commission_review"": -1.0914, ""Drev_sack_ceo"": 0.0}"
S1_010,0.423347,"{""D0_minimal"": 0.0, ""D1_review"": -0.64, ""D3_ceo_transition"": -0.3579}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.0161}"
S1_011,0.42663,"{""D0_minimal"": 0.0, ""D1_review"": -0.58, ""D3_ceo_transition"": -0.4579}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.0161}"
S1_012,0.425322,"{""D0_minimal"": 0.0, ""D1_review"": -0.62, ""D3_ceo_transition"": -0.3979}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.0161}"
S1_013,0.437533,"{""D0_minimal"": 0.0, ""D1_review"": -0.7188, ""D3_ceo_transition"": -0.24}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
S1_014,0.441912,"{""D0_minimal"": 0.0, ""D1_review"": -0.7388, ""D3_ceo_transition"": -0.2}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
S1_015,0.426596,"{""D0_minimal"": 0.0, ""D1_review"": -0.6988, ""D3_ceo_transition"": -0.24}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
S1_016,0.404824,"{""D0_minimal"": 0.0, ""D1_review"": -0.6588, ""D3_ceo_transition"": -0.24}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
